"ride_id","rideable_type","started_at","ended_at","station","start_station_id","end_station_name","end_station_id","lattitude","longitude","end_lat","end_lng","member_casual","total_rides"
"1EA352167E5321B5","classic_bike","2022-06-06 17:34:31","2022-06-06 17:41:26","Southwest Park - Jackson St & Observer Hwy","HB401","Madison St & 10 St","HB503",40.737551272458,-74.0416637063026,40.7499432541225,-74.0358647704124,"member",961
"D3412FE953E7E0A0","classic_bike","2022-06-20 07:18:27","2022-06-20 07:19:37","Adams St & 11 St","HB507","Madison St & 10 St","HB503",40.750915534785,-74.033540636301,40.7499432541225,-74.0358647704124,"member",667
"592B761CD15983A2","classic_bike","2022-06-18 23:26:04","2022-06-18 23:44:57","Grove St PATH","JC005","Madison St & 10 St","HB503",40.7195861164717,-74.0431174635887,40.7499432541225,-74.0358647704124,"member",4490
"9833A6B1990068D1","classic_bike","2022-06-01 18:03:09","2022-06-01 18:10:03","Warren St","JC006","Van Vorst Park","JC035",40.7211236,-74.03805095,40.71848892,-74.047726625,"member",1506
"BAFCE2020C7F3FAA","classic_bike","2022-06-16 18:40:41","2022-06-16 18:50:09","Monmouth and 6th","JC075","Van Vorst Park","JC035",40.725685483629,-74.0487903356552,40.71848892,-74.047726625,"member",685
"06AE42ED490DB746","classic_bike","2022-06-11 23:48:10","2022-06-11 23:53:42","Hamilton Park","JC009","Van Vorst Park","JC035",40.727595966,-74.044247311,40.71848892,-74.047726625,"member",2369
"C9EEBB0D3AF40A31","classic_bike","2022-06-05 20:52:42","2022-06-05 20:57:54","Brunswick St","JC023","Van Vorst Park","JC035",40.7241765,-74.0506564,40.71848892,-74.047726625,"member",969
"1F793C732809D1F7","classic_bike","2022-06-11 19:22:37","2022-06-11 19:24:43","JC Medical Center","JC011","Van Vorst Park","JC035",40.7165397809919,-74.0496379137039,40.71848892,-74.047726625,"member",1128
"DC2E51F239E83CE2","classic_bike","2022-06-20 08:42:47","2022-06-20 09:02:45","Glenwood Ave","JC094","Van Vorst Park","JC035",40.7275514673001,-74.0710607171059,40.71848892,-74.047726625,"casual",341
"651186A8F4416E38","classic_bike","2022-06-09 13:03:03","2022-06-09 13:12:00","4 St & Grand St","HB301","Willow Ave & 12 St","HB505",40.7422579775645,-74.0351110696793,40.7518674823282,-74.030376970768,"member",1143
"2BCD7196BD310758","classic_bike","2022-06-18 18:10:30","2022-06-18 18:15:22","Jersey & 6th St","JC027","Van Vorst Park","JC035",40.7252891078113,-74.0455716848373,40.71848892,-74.047726625,"member",746
"560878E37573A5DF","electric_bike","2022-06-26 14:51:07","2022-06-26 14:54:07","Clinton St & 7 St","HB303","Willow Ave & 12 St","HB505",40.74542,-74.03332,40.7518674823282,-74.030376970768,"member",1112
"B1122F32AEA8AFE6","electric_bike","2022-06-28 07:49:51","2022-06-28 08:06:24","Christ Hospital","JC034","Columbus Dr at Exchange Pl","JC106",40.734785818,-74.050443636,40.71687,-74.03281,"member",575
"E8F52B60E5E175A1","electric_bike","2022-06-06 21:51:24","2022-06-06 21:56:25","Columbus Park - Clinton St & 9 St","HB501","Madison St & 1 St","HB402",40.7481612106515,-74.0324530005455,40.73879,-74.0393,"member",1379
"168220D27DD1140A","electric_bike","2022-06-30 20:29:58","2022-06-30 20:36:16","8 St & Washington St","HB603","Heights Elevator","JC059",40.7459838829156,-74.0281990170479,40.7487159453802,-74.0404433012009,"member",1624
"27E6B111342DE6A8","classic_bike","2022-06-01 17:44:31","2022-06-01 18:04:17","Sip Ave","JC056","Madison St & 10 St","HB503",40.7308970978618,-74.0639126300812,40.7499432541225,-74.0358647704124,"member",1759
"EE4E2C04644B55B6","electric_bike","2022-06-09 15:28:45","2022-06-09 15:42:04","Pershing Field","JC024","Van Vorst Park","JC035",40.742677141,-74.051788633,40.71848892,-74.047726625,"member",760
"7E7FFFC55245B94D","electric_bike","2022-06-24 17:06:43","2022-06-24 17:18:36","Fairmount Ave","JC093","Van Vorst Park","JC035",40.7257261374256,-74.0719592571259,40.71848892,-74.047726625,"member",581
"0740DC7C7850186D","electric_bike","2022-06-29 20:44:11","2022-06-29 20:51:25","City Hall - Washington St & 1 St","HB105","Madison St & 10 St","HB503",40.73736,-74.03097,40.7499432541225,-74.0358647704124,"member",2717
"8E3228F9F88DDA44","electric_bike","2022-06-29 18:52:10","2022-06-29 19:12:02","Communipaw & Berry Lane","JC084","Madison St & 1 St","HB402",40.7143583687043,-74.0666109323502,40.73879,-74.0393,"member",421
"2CF00939DC07045A","classic_bike","2022-06-15 17:58:34","2022-06-15 18:17:42","Jackson Square","JC063","Columbus Drive","JC014",40.71113,-74.0789,40.7183551982321,-74.0389144420624,"member",197
